,category
Business Development (Sales),663
Graphic Design,568
Content Writing,566
Digital Marketing,528
Social Media Marketing,504
Human Resources (HR),478
Marketing,267
Operations,162
Video Making/Editing,157
Web Development,138
Search Engine Optimization (SEO),127
Telecalling,90
Accounts,75
Video Editing,64
Business Development,61
Flutter Development,58
Sales,56
Market Research,49
WordPress Development,49
Mobile App Development,48
Android App Development,47
Law/Legal,46
Interior Design,46
UI/UX Design,45
Full Stack Development,45
Photography,42
Sales &amp; Marketing,41
PHP Development,39
Social Media Management,36
Data Entry,35
Event Management,34
Lead Generation,34
Media &amp; Public Relations (PR),33
Customer Service,32
Recruitment,31
Fashion Design,31
Architecture,29
Finance,28
Field Sales,28
Product Management,27
Corporate Sales,26
Copywriting,26
Chartered Accountancy (CA),26
Client Servicing,25
Software Development,25
Backend Development,24
International Business Development,24
Talent Acquisition,23
Fundraising,22
Product Marketing,22
HR,21
Content &amp; E-Commerce Management,19
Motion Graphics,19
Front End Development,19
Python Development,18
Content Development (English),18
General Management,18
Customer Support,18
Administration,17
Email Marketing,17
HR Recruitment,17
Influencer Marketing,17
Teaching,16
Project Management,15
Business Research,13
Animation,13
Content Creation,13
Embedded Systems,13
.NET Development,13
Videography,13
Brand Management,12
Inside Sales,12
Node.js Development,12
Java Development,12
Mechanical Engineering,12
Electronics Engineering,11
Business Analytics,11
Community Management,11
Company Secretary (CS),11
UX/UI Design,11
Performance Marketing,10
Creative Design,10
Online Marketing,10
Game Development,10
Business Strategy,10
Anchoring,10
Software Testing,10
Database Building/Management,10
Data Analytics,10
Marketing &amp; Sales,9
Civil Engineering,9
Content Marketing,9
Artificial Intelligence (AI),9
Customer Acquisition,9
Social Media Content Creation,9
Travel &amp; Tourism,8
Research,8
Content Development,8
Creative Writing,8
ReactJS Development,8
Subject Matter Expert (SME),8
iOS App Development,8
Technical Content Writing,8
CA Articleship,8
Psychology,8
Office Assistance,8
Web Design,7
Data Science,7
Blockchain Development,7
Management Trainee,7
Machine Learning,7
React Native Development,7
Product Design,7
Social Media,7
Electrical Engineering,7
ASP.NET Development,6
Hotel Management,6
Software Development Engineering (Web),6
Financial Analysis,6
Supply Chain Management (SCM),6
Photo Editing,6
CAD Design,6
Business Analysis,6
E-commerce Management,6
Volunteering,6
Content Management,5
Visual Design,5
Pharmaceutical,5
Angular Development,5
Relationship Management,5
Blogging,5
Script Writing,5
Customer Success,5
Content Development (Mathematics),5
Editorial,5
Design,5
Angular.js Development,5
Crowdfunding,5
Project Coordination,5
Acting,5
Learning Coordination,5
DevOps,4
Sales and Marketing,4
Laravel Development,4
Cinematography,4
Software Engineering,4
Career Counseling,4
Marketing And Sales,4
Sales Coordination,4
HR Operations,4
Business Operations,4
Ruby On Rails Development,4
Data Entry Operations,4
Finance &amp; Accounts,4
Merchandising,4
IT Sales,4
Dietetics/Nutrition,4
Business,4
Social Work,4
Telesales,4
Data Analysis,4
Video Content Creation,4
Digital Content Creation,4
Office Administration,4
Fashion Styling,4
Admission Counseling,3
React Development,3
Automobile Engineering,3
Magento Development,3
Graphic Design &amp; Video Editing,3
Engineering Design,3
Mechatronics,3
Social Media Handling,3
Subject Matter Expert (Economics),3
Content Creation (Social Media),3
Client Acquisition,3
Marketing &amp; Operations,3
Photography &amp; Videography,3
Admission Counselling,3
Business Development Management,3
Research Analysis,3
Information Technology,3
Program Management,3
SEO Content Writing,3
News Writing,3
Website Content Writing,3
Virtual Assistance,3
Videography &amp; Photography,3
Back Office Operations,3
Video Creation,3
DevOps Engineering,3
Customer Relationship Management,3
Accountant,3
Sales &amp; Operations,3
