category,company,location,start_date,duration,stipend,apply_by,applicants,skills_required,perks,openings,link
Campus Ambassador,IIT Delhi- Rendezvous,"Work From Home,",Immediately,2 Months,Performance Based,3 Feb' 23,0.0,"Digital Marketing,Social Media Marketing,","Certificate,Flexible work hours,",100.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-iit-delhi-rendezvous1673959301
Molecular Biology,Indian Institute Of Science,"Bangalore,",Immediately,6 Months,Unpaid,24 Jan' 23,160.0,,"Certificate,",1.0,https://internshala.com/internship/detail/molecular-biology-internship-in-bangalore-at-indian-institute-of-science1673314334
Campus Ambassador,"Tryst, IIT Delhi","Work From Home,",Immediately,2 Months,Performance Based,31 Jan' 23,0.0,,"Certificate,Flexible work hours,",1000.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-tryst-iit-delhi1671353036
Fundraising,Jankalyan Multipurpose Education Society,"Work From Home,",Immediately,1 Week,Unpaid,4 Feb' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,",20.0,https://internshala.com/internship/detail/fundraising-work-from-home-job-internship-at-jankalyan-multipurpose-education-society1674277295
Campus Ambassador,Qriteeq,"Work From Home,",Immediately,1 Month,Performance Based,3 Feb' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing,",,4.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-qriteeq1674157740
Campus Ambassador,MastersBuddy,"Work From Home,",Immediately,2 Weeks,Performance Based,3 Feb' 23,0.0,"Content Marketing,Digital Marketing,Email Marketing,Instagram Marketing,Sales and Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",20.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-mastersbuddy1674130788
Fundraising,Youth Empowerment Foundation,"Bangalore,",Immediately,3 Weeks,Unpaid,2 Feb' 23,0.0,,"Certificate,Letter of recommendation,Flexible work hours,",20.0,https://internshala.com/internship/detail/fundraising-internship-in-bangalore-at-youth-empowerment-foundation1674072692
Campus Ambassador,Qriteeq,"Work From Home,",Immediately,1 Month,Performance Based,3 Feb' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing,",,4.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-qriteeq1674157740
Campus Ambassador,MastersBuddy,"Ahmedabad, Surat, Mumbai, Noida, Chandigarh,",Immediately,1 Month,Performance Based,3 Feb' 23,0.0,"Business Research,Content Marketing,Digital Marketing,Email Marketing,Facebook Marketing,Instagram Marketing,LinkedIn Marketing,MS-Excel,MS-Office,MS-PowerPoint,Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",25.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-mastersbuddy1671627605
Human Resources (HR),Youth Empowerment Foundation,"Ranchi,",Immediately,3 Months,Unpaid,1 Feb' 23,0.0,,"Certificate,Flexible work hours,",10.0,https://internshala.com/internship/detail/human-resources-hr-part-time-job-internship-at-ranchi-in-youth-empowerment-foundation1674056719
Human Resources (HR),Youth Empowerment Foundation,"Delhi,",Immediately,2 Months,Unpaid,1 Feb' 23,26.0,,"Certificate,Letter of recommendation,Flexible work hours,",20.0,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-youth-empowerment-foundation1674056647
Human Resources (HR),Youth Empowerment Foundation,"Lucknow,",Immediately,3 Months,Unpaid,1 Feb' 23,0.0,,"Certificate,Flexible work hours,",10.0,https://internshala.com/internship/detail/human-resources-hr-part-time-job-internship-at-lucknow-in-youth-empowerment-foundation1674056682
Human Resources (HR),Youth Empowerment Foundation,"Chennai,",Immediately,3 Months,Unpaid,1 Feb' 23,0.0,,"Certificate,Flexible work hours,",10.0,https://internshala.com/internship/detail/human-resources-hr-part-time-job-internship-at-chennai-in-youth-empowerment-foundation1674056740
Campus Ambassador,Blackcoffer,"Delhi, Pune, Bangalore, Mumbai, Jaipur, Noida,",Immediately,6 Months,Performance Based,31 Jan' 23,0.0,"English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,",10.0,https://internshala.com/internship/detail/campus-ambassador-programme-at-blackcoffer1673876049
Human Resources (HR),Youth Empowerment Foundation,"Hyderabad,",Immediately,3 Months,Unpaid,1 Feb' 23,31.0,,"Certificate,Flexible work hours,",10.0,https://internshala.com/internship/detail/human-resources-hr-part-time-job-internship-at-hyderabad-in-youth-empowerment-foundation1674056760
