category,company,location,start_date,duration,stipend,apply_by,applicants,skills_required,perks,openings,link
,,,,,,,,,,,https://internshala.com/job/detail/inside-sales-specialist-fresher-jobs-in-chennai-bangalore-at-skill-lync1673335657
Cloud Development (Backend),Techwondoe India Private Limited,"Work From Home,",Immediately,3 Months,"10,000-25,000 /month",5 Feb' 23,861,"Amazon Web Server (AWS),Node.js,REST API,Tailwind CSS,TypeScript,","Certificate,Letter of recommendation,5 days a week,",2,https://internshala.com/internship/detail/cloud-development-backend-work-from-home-job-internship-at-techwondoe-india-private-limited1671593133
Fundraising,Tare Zameen Foundation,"Work From Home,",Immediately,1 Month,"1,000 /month + Incentives",3 Feb' 23,186,,"Certificate,Letter of recommendation,Flexible work hours,",200,https://internshala.com/internship/detail/fundraising-work-from-home-job-internship-at-tare-zameen-foundation1674187355
Brand Management &amp; Marketing,Corizo,"Work From Home,",Immediately,1 Month,"1,000 /month + Incentives",2 Feb' 23,405,"Email Marketing,Instagram Marketing,Social Media Marketing,","Certificate,Letter of recommendation,Job offer,",20,https://internshala.com/internship/detail/brand-management-marketing-work-from-home-job-internship-at-corizo1674106851
Android Teaching Assistant (Virtual),Internshala Trainings,"Work From Home,",Immediately,6 Months,"5,000 /month + Incentives",27 Jan' 23,225,"Android,Kotlin,","Certificate,Flexible work hours,",2,https://internshala.com/internship/detail/android-teaching-assistant-virtual-work-from-home-job-internship-at-internshala-trainings1673605104
React Native Development,Resshu Connect Private Limited,"Work From Home,",Immediately,3 Months,"6,000 /month",23 Jan' 23,0,,"Certificate,Letter of recommendation,Flexible work hours,",1,https://internshala.com/internship/detail/react-native-development-work-from-home-job-internship-at-resshu-connect-private-limited1673261875
Business Development (Sales),Fashion TV India,"Ghaziabad,",Immediately,3 Months,"8,000 /month",3 Feb' 23,0,"English Proficiency (Spoken),English Proficiency (Written),","Certificate,Letter of recommendation,Informal dress code,Job offer,",5,https://internshala.com/internship/detail/business-development-sales-internship-in-ghaziabad-at-fashion-tv-india1673953380
Business Development (Sales),Times Internet,"Noida,",Immediately,6 Months,"10,000 /month",3 Feb' 23,0,"English Proficiency (Spoken),English Proficiency (Written),Event Management,MS-Excel,MS-Office,MS-PowerPoint,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",5,https://internshala.com/internship/detail/business-development-sales-internship-in-noida-at-times-internet1674197956
Business Development (Sales),Urban Company,"Bangalore,",Immediately,3 Months,"20,000-22,000 /month",3 Feb' 23,55,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,","Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages,",5,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-urban-company1674210883
Telecalling &amp; Event Audience Database Management,Times Internet,"Mumbai,",Immediately,6 Months,"7,000 /month",3 Feb' 23,0,"Google Suite (G Suite),","Certificate,5 days a week,",3,https://internshala.com/internship/detail/telecalling-event-audience-database-management-internship-in-mumbai-at-times-internet1673606601
Swimming Omni Sport,Decathlon,"Pimpri-Chinchwad, Dapodi, Aundh, Wakad, Ravet,",Immediately,3 Months,"5,000 /month",3 Feb' 23,0,,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Job offer,",5,https://internshala.com/internship/detail/swimming-omni-sport-internship-in-multiple-locations-at-decathlon1673499659
Store Fashion Consulting,Reliance Brands Limited,"Lucknow,",Immediately,6 Months,"16,000 /month",2 Feb' 23,68,,"Certificate,Job offer,",5,https://internshala.com/internship/detail/store-fashion-consulting-internship-in-lucknow-at-reliance-brands-limited1674035816
Human Resources (HR),Fashion TV India,"Ghaziabad,",Immediately,3 Months,"5,000 /month",3 Feb' 23,0,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word,","Certificate,Letter of recommendation,Informal dress code,Job offer,",2,https://internshala.com/internship/detail/human-resources-hr-internship-in-ghaziabad-at-fashion-tv-india1673953295
UX Writing/Communication,BigBasket,"Bangalore,",Immediately,6 Months,"15,000-20,000 /month",3 Feb' 23,67,,"Certificate,Letter of recommendation,5 days a week,",10,https://internshala.com/internship/detail/ux-writing-communication-internship-in-bangalore-at-bigbasket1673931181
Human Resources (HR),FirstCry,"Pune,",Immediately,3 Months,"5,000 /month",2 Feb' 23,60,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,","Certificate,",5,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-firstcry1674033965
Influencer Marketing,FirstCry.com,"Pune,",Immediately,6 Months,"8,000 /month",3 Feb' 23,0,"Digital Marketing,Social Media Marketing,",,4,https://internshala.com/internship/detail/influencer-marketing-internship-in-pune-at-firstcrycom1674020238
Business Development (Sales),Times Internet,"Noida,",Immediately,6 Months,"10,000 /month",3 Feb' 23,0,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,","Certificate,5 days a week,",4,https://internshala.com/internship/detail/business-development-sales-internship-in-noida-at-times-internet1674031245
Creative Department Operations,Radio City 91.1 FM,"Karnal,",Immediately,3 Months,"5,000 /month",2 Feb' 23,0,,,1,https://internshala.com/internship/detail/creative-department-operations-internship-in-karnal-at-radio-city-911-fm1673591770
Human Resources (HR),DCB Bank,"Jaipur,",Immediately,3 Months,"7,000 /month",2 Feb' 23,43,"MS-Excel,",,1,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-dcb-bank1674041750
Fashion Design,BIBA Fashion Limited,"Gurgaon,",Immediately,4 Months,"5,000 /month",3 Feb' 23,107,,"Certificate,Letter of recommendation,",5,https://internshala.com/internship/detail/fashion-design-internship-in-gurgaon-at-biba-fashion-limited1673518773
Operations,Times Internet,"Noida,",Immediately,6 Months,"7,000-10,000 /month",3 Feb' 23,0,,,1,https://internshala.com/internship/detail/operations-internship-in-noida-at-times-internet1674033949
Graphic Design,PVR Limited,"Gurgaon,",Immediately,6 Months,"15,000 /month",3 Feb' 23,87,"Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW,UI & UX Design,Video Editing,","Letter of recommendation,Flexible work hours,5 days a week,",2,https://internshala.com/internship/detail/graphic-design-internship-in-gurgaon-at-pvr-limited1673331102
Business Development (Sales),Pepperfry,"Delhi,",Immediately,6 Months,"15,000 /month",3 Feb' 23,58,"Digital Marketing,English Proficiency (Spoken),MS-Excel,Social Media Marketing,","Informal dress code,",1,https://internshala.com/internship/detail/business-development-sales-internship-in-delhi-at-pepperfry1673527418
Database Management,Times Internet,"Noida,",Immediately,6 Months,"10,000 /month",3 Feb' 23,41,"Google Suite (G Suite),Google Workspace,MS-Excel,MS-Office,","Certificate,5 days a week,",1,https://internshala.com/internship/detail/database-management-internship-in-noida-at-times-internet1674031325
Academic Counselling,Fashion TV India,"Ghaziabad,",Immediately,3 Months,"5,000 /month",3 Feb' 23,0,"English Proficiency (Spoken),","Certificate,Letter of recommendation,Informal dress code,Job offer,",2,https://internshala.com/internship/detail/academic-counselling-internship-in-ghaziabad-at-fashion-tv-india1673953416
Business Development (Sales),Urban Company,"Raipur,",Immediately,3 Months,"20,000-22,000 /month",3 Feb' 23,0,"MS-Excel,","Informal dress code,",2,https://internshala.com/internship/detail/business-development-sales-internship-in-raipur-at-urban-company1673698213
Marketing,Mahindra Holidays &amp; Resorts India Limited,"Jaipur,",Immediately,3 Months,"15,000-20,000 /month",2 Feb' 23,32,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Sales and Marketing,","Informal dress code,Free snacks & beverages,",1,https://internshala.com/internship/detail/marketing-internship-in-jaipur-at-mahindra-holidays-resorts-india-limited1674040751
Home Consultancy,Pepperfry,"Bangalore,",Immediately,3 Months,"15,000 /month",3 Feb' 23,44,"Client Relationship,Sales and Marketing,","Informal dress code,Job offer,",2,https://internshala.com/internship/detail/home-consultancy-internship-in-bangalore-at-pepperfry1673789258
Database Building/Management,Times Internet,"Noida,",Immediately,6 Months,"7,000-10,000 /month",3 Feb' 23,32,,,1,https://internshala.com/internship/detail/database-building-management-internship-in-noida-at-times-internet1673941357
Content Writing,HT Media,"Mumbai,",Immediately,6 Months,"3,500-5,000 /month",2 Feb' 23,0,"Copywriting,Creative Writing,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,",2,https://internshala.com/internship/detail/content-writing-internship-in-mumbai-at-ht-media1673858310
Alumni Experience,Tata Community Initiatives Trust,"Mumbai,",Immediately,3 Months,"10,000 /month",3 Feb' 23,49,"Content Marketing,English Proficiency (Spoken),Facebook Marketing,Hindi Proficiency (Spoken),Instagram Marketing,LinkedIn Marketing,Social Media Marketing,","Certificate,",1,https://internshala.com/internship/detail/alumni-experience-internship-in-mumbai-at-tata-community-initiatives-trust1673996949
Marketing,Khaitan &amp; Co,"Mumbai,",Immediately,6 Months,"8,000 /month + Incentives",3 Feb' 23,0,"Content Marketing,Content Writing,Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,MS-Excel,MS-Office,Report Writing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing,","Certificate,Letter of recommendation,5 days a week,",1,https://internshala.com/internship/detail/marketing-internship-in-mumbai-at-khaitan-co1673959607
Telecalling,Mahindra Holidays &amp; Resorts India Limited,"Udaipur,",Immediately,3 Months,"15,000-20,000 /month",2 Feb' 23,0,"English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),","Informal dress code,Free snacks & beverages,Job offer,",4,https://internshala.com/internship/detail/telecalling-internship-in-udaipur-at-mahindra-holidays-resorts-india-limited1674041890
Content Writing,Economic Times Edge,"Mumbai,",Immediately,3 Months,"5,000 /month",3 Feb' 23,112,"Blogging,Content Writing,Copywriting,","Certificate,Informal dress code,5 days a week,",3,https://internshala.com/internship/detail/content-writing-internship-in-mumbai-at-economic-times-edge1673431414
Marketing,Havmor,"Ahmedabad,",Immediately,2 Months,"10,000 /month",2 Feb' 23,90,"Digital Marketing,Social Media Marketing,","Certificate,Letter of recommendation,Flexible work hours,5 days a week,",2,https://internshala.com/internship/detail/marketing-internship-in-ahmedabad-at-havmor1674105323
Human Resources (HR),Bajaj Allianz General Insurance Company,"Delhi,",Immediately,3 Months,"5,000 /month",3 Feb' 23,89,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word,","Certificate,5 days a week,",2,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-bajaj-allianz-general-insurance-company1674015779
Talent Acquisition,Times Internet,"Noida,",Immediately,6 Months,"10,000 /month",3 Feb' 23,48,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,","Certificate,5 days a week,Job offer,",1,https://internshala.com/internship/detail/talent-acquisition-internship-in-noida-at-times-internet1674031066
Omni Sports Leadership (Skateboarding/Inline Skates),Decathlon Sports India Private Limited,"Pune, Pimpri-Chinchwad, Wakad,",Immediately,3 Months,"5,000-10,000 /month",3 Feb' 23,0,"Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Sales and Marketing,","Certificate,Letter of recommendation,5 days a week,Free snacks & beverages,Job offer,",25,https://internshala.com/internship/detail/omni-sports-leadership-skateboarding-inline-skates-internship-in-multiple-locations-at-decathlon-sports-india-private-limited1673237774
Business Development (Sales),Mahindra Holidays &amp; Resorts India Limited,"Ahmedabad, Pune, Surat, Navi Mumbai, Mumbai,",Immediately,6 Months,"20,000 /month",3 Feb' 23,46,"Client Relationship,Sales and Marketing,","Certificate,Job offer,",15,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-mahindra-holidays-resorts-india-limited1673860832
Business Development (Sales),Aditya Birla Capital,"Kolkata,",Immediately,3 Months,"4,000-6,000 /month",3 Feb' 23,38,,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,",30,https://internshala.com/internship/detail/business-development-sales-internship-in-kolkata-at-aditya-birla-capital1673727438
Marketing Automation (Marketo Tool),Ericsson India Global Sevices Private Limited,"Gurgaon, Bangalore, Noida,",Immediately,6 Months,"25,000 /month",3 Feb' 23,59,,"Certificate,5 days a week,",1,https://internshala.com/internship/detail/marketing-automation-marketo-tool-internship-in-multiple-locations-at-ericsson-india-global-sevices-private-limited1673874126
Operations,Urban Company,"Surat, Vadodara,",Immediately,3 Months,"18,000 /month",3 Feb' 23,30,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,","Certificate,",1,https://internshala.com/internship/detail/operations-internship-in-surat-vadodara-at-urban-company1673847602
Audio Making/Editing,Disney Star,"Mumbai,",Immediately,3 Months,"15,000 /month",3 Feb' 23,0,"Tamil Proficiency (Spoken),Tamil Proficiency (Written),Telugu Proficiency (Spoken),Telugu Proficiency (Written),","Flexible work hours,Informal dress code,5 days a week,",2,https://internshala.com/internship/detail/audio-making-editing-internship-in-mumbai-at-disney-star1674200740
