category,company,location,start_date,duration,stipend,apply_by,posted_date,applicants,skills_required,perks,openings,link
Internshala Student Partner,Internshala,Work From Home,7 Sep - 17 Nov' 22,2 Months,Performance Based,4 Sep' 22,Posted 1 week ago,0,,"Certificate,Letter of recommendation,Flexible work hours,",10000,https://internshala.com/internship/detail/internship-at-internshala1661157091
Fundraising,Tare Zameen Foundation,Work From Home,Immediately,1 Month,"1,000 /month + Incentives",12 Sep' 22,Posted 2 days ago,345,,"Certificate,Letter of recommendation,Flexible work hours,",200,https://internshala.com/internship/detail/fundraising-work-from-home-job-internship-at-tare-zameen-foundation1661533488
Teaching,Nerdy Academy,"Bhilai, Durg, Mumbai, Raipur",Immediately,6 Months,"7,000-25,000 /month",15 Sep' 22,Posted 2 weeks ago,192,"Hindi Proficiency (Spoken),Teaching,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Job offer,",20,https://internshala.com/internship/detail/teaching-part-time-job-internship-at-multiple-locations-in-nerdy-academy1660664009
Operations,Hamari Pahchan NGO,Work From Home,Immediately,1 Month,Unpaid,5 Sep' 22,Posted 3 weeks ago,0,"Creative Writing,","Certificate,Letter of recommendation,Flexible work hours,",3000,https://internshala.com/internship/detail/social-volunteering-work-from-home-job-internship-at-hamari-pahchan-ngo1659506289
Business Development (Sales),ZAPS Marketing Private Limited,Hyderabad,Immediately,3 Months,"3,000-20,000 /month",15 Sep' 22,Posted 3 weeks ago,133,"Business Analysis,Business Research,English Proficiency (Spoken),English Proficiency (Written),HR Analytics,Recruitment,","Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Job offer,",20,https://internshala.com/internship/detail/business-development-sales-part-time-job-internship-at-hyderabad-in-zaps-marketing-private-limited1660152614
Business Development (Sales),Urban Company,Hyderabad,Immediately,1 Month,"20,000 /month",14 Sep' 22,Posted today,0,"MS-Excel,Telugu Proficiency (Spoken),","Certificate,Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages,",1,https://internshala.com/internship/detail/business-development-sales-internship-in-hyderabad-at-urban-company1661932223
Human Resources (HR),Justdial Limited,Pune,Immediately,3 Months,"7,000 /month",14 Sep' 22,Posted today,35,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word,","Certificate,5 days a week,",4,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-justdial-limited1661863634
Human Resources (HR),Justdial Limited,Chennai,Immediately,3 Months,"7,000 /month",14 Sep' 22,Posted today,0,"Hindi Proficiency (Spoken),","Certificate,Letter of recommendation,Informal dress code,5 days a week,",1,https://internshala.com/internship/detail/human-resources-hr-internship-in-chennai-at-justdial-limited1661860995
Human Resources (HR),Delhivery Private Limited,Work From Home,Immediately,3 Months,"3,000-5,000 /month",15 Sep' 22,Posted today,0,"English Proficiency (Spoken),Recruitment,","5 days a week,",1,https://internshala.com/internship/detail/human-resources-hr-work-from-home-job-internship-at-delhivery-private-limited1661412224
Business Development (Sales),Fashion TV India,Mumbai,Immediately,6 Months,"10,000-30,000 /month",14 Sep' 22,Posted today,0,"Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing,","Flexible work hours,Informal dress code,5 days a week,Job offer,",20,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-fashion-tv-india1661852028
